resmi,alias
Kabupaten Bandung Barat,Kab Bandung Barat|Kab. Bandung Barat|Bandung Barat Regency|Kab Bdg Barat|Kab. Bdg Barat|Kab Bdg Brt|Kab. Bdg Brt|Kab Bandung Brt|Kab. Bandung Brt|Kabupaten Bandung Barat|Kabupaten Bdg Barat|Bandung Brt|Kabupaten Bdg Brt |Bandung Barat|Kec.Lembang
Kabupaten Bekasi,Kab Bekasi|Kab. Bekasi|Bekasi Regency|Kab Bks| Kab. Bks|Bks Regency|Kabupaten Bekasi
Kabupaten Bogor,Kab Bogor|Kab. Bogor|Bogor Regency|Kab Bgr|Kab. Bgr|Kabupaten Bogor
Kabupaten Ciamis,Kab Ciamis|Kab. Ciamis|Kabupaten Ciamis|Ciamis Regency
Kabupaten Cianjur,Kab Cianjur|Kab. Cianjur|Kabupaten Cianjur
Kabupaten Cirebon,Kab Cirebon|Kab. Cirebon|Cirebon Regency|Kabupaten Cirebon
Kabupaten Garut,Kab Garut|Kab. Garut|Kabupaten Garut|Garut Regency
Kabupaten Indramayu,Kab Indramayu|Kab. Indramayu|Kabupaten Indramayu|Kec. Indramayu
Kabupaten Karawang,Kab Karawang|Kab. Karawang|Kabupaten Karawang|Karawang
Kabupaten Kuningan,Kab Kuningan|Kab. Kuningan|Kabupaten Kuningan|Kuningan Regency
Kabupaten Majalengka,Kab Majalengka|Kab. Majalengka|Kabupaten Majalengka|Majalengkka Regency
Kabupaten Pangandaran,Kab Pangandaran|Kab. Pangandaran|Kabupaten Pangandaran|Pangandaran
Kabupaten Purwakarta,Kab Purwakarta|Kab. Purwakarta|Kabupaten Purwakarta|Purwakarta
Kabupaten Subang,Kab Subang|Kab. Subang|Kabupaten Subang|Subang
Kota Sukabumi,Kota Sukabumi|Sukabumi City
Kabupaten Sumedang,Kab Sumedang|Kab. Sumedang|Kabupaten Sumedang|Sumedang
Kota Tasikmalaya,Kota Tasikmalaya|Tasikmalaya City
Kota Banjar,Kota Banjar|Banjar City
Kota Bekasi,Kota Bekasi|Bekasi City|Bks|Kota. Bks|Kota Bks|Bekasi
Kota Bogor,Kota Bogor|Bogor City|Babakan Madang|Bogor
Kota Cimahi,Kota Cimahi|Cimahi City
Kota Cirebon,Kota Cirebon|Cirebon City
Kota Depok,Kota Depok|Depok City
Kabupaten Sukabumi,Kab Sukabumi|Kab. Sukabumi|Kabupaten Sukabumi|Sukabumi
Kabupaten Tasikmalaya,Kab Tasikmalaya|Kab. Tasikmalaya|Kabupaten Tasikmalaya|Tasikmalaya Regency
Kota Bandung, Kota Bandung|Kota Bdg|Bandung City
Kabupaten Bandung,Kab Bandung|Kab. Bandung|Bandung Regency|Kab Bdg|Kab. Bdg|Kabupaten Bandung|Kabupaten Bdg|
